#
# The Tor Project
#
# URL: https://metrics.torproject.org/onionperf-latencies.csv?start=2022-12-23&end=2023-01-24&server=public
#
date,source,server,low,q1,md,q3,high
2022-12-23,op-de6a,public,40,140,260,390,760
2022-12-23,op-de7a,public,30,160,260,390,730
2022-12-23,op-hk6,public,430,580,660,850,1210
2022-12-23,op-hk6a,public,430,550,640,790,1130
2022-12-23,op-hk7,public,420,620,765,945,1340
2022-12-23,op-hk7a,public,400,550,640,800,1170
2022-12-23,op-nl6,public,70,170,300,450,860
2022-12-23,op-us6,public,220,360,490,695,1090
2022-12-23,op-us7,public,190,310,400,530,850
2022-12-24,op-de6a,public,40,130,260,360,690
2022-12-24,op-de7a,public,30,140,280,412,800
2022-12-24,op-hk6,public,430,577,650,820,1140
2022-12-24,op-hk6a,public,420,560,650,825,1220
2022-12-24,op-hk7,public,410,580,690,880,1300
2022-12-24,op-hk7a,public,420,560,660,810,1180
2022-12-24,op-nl6,public,60,155,300,440,840
2022-12-24,op-us6,public,260,350,515,735,1170
2022-12-24,op-us7,public,180,300,390,530,870
2022-12-25,op-de6a,public,40,130,250,375,730
2022-12-25,op-de7a,public,30,160,280,400,760
2022-12-25,op-hk6,public,420,540,640,820,1180
2022-12-25,op-hk6a,public,410,540,630,780,1130
2022-12-25,op-hk7,public,440,600,720,890,1320
2022-12-25,op-hk7a,public,430,560,660,820,1210
2022-12-25,op-nl6,public,50,200,340,550,960
2022-12-25,op-us6,public,260,352,500,690,1140
2022-12-25,op-us7,public,210,287,360,535,890
2022-12-26,op-de6a,public,30,140,260,360,690
2022-12-26,op-de7a,public,30,120,230,390,770
2022-12-26,op-hk6,public,400,580,700,977,1520
2022-12-26,op-hk6a,public,410,550,640,790,1150
2022-12-26,op-hk7,public,430,610,740,915,1360
2022-12-26,op-hk7a,public,400,575,680,875,1320
2022-12-26,op-nl6,public,60,167,290,450,800
2022-12-26,op-us6,public,200,350,530,800,1410
2022-12-26,op-us7,public,180,300,410,550,850
2022-12-27,op-de6a,public,30,140,260,380,740
2022-12-27,op-de7a,public,40,145,290,430,810
2022-12-27,op-hk6,public,420,570,660,890,1330
2022-12-27,op-hk6a,public,410,550,630,810,1200
2022-12-27,op-hk7,public,440,570,690,890,1260
2022-12-27,op-hk7a,public,410,560,660,820,1200
2022-12-27,op-nl6,public,60,207,310,480,870
2022-12-27,op-us6,public,170,350,455,747,1210
2022-12-27,op-us7,public,190,290,370,570,920
2022-12-28,op-de6a,public,30,120,240,350,660
2022-12-28,op-de7a,public,30,120,260,390,790
2022-12-28,op-hk6,public,440,560,650,827,1160
2022-12-28,op-hk6a,public,400,550,630,770,1100
2022-12-28,op-hk7,public,420,560,700,860,1280
2022-12-28,op-hk7a,public,400,550,630,770,1100
2022-12-28,op-nl6,public,40,160,250,390,690
2022-12-28,op-us6,public,250,320,440,610,990
2022-12-28,op-us7,public,130,280,360,507,810
2022-12-29,op-de6a,public,40,120,250,360,720
