#
# The Tor Project
#
# URL: https://metrics.torproject.org/onionperf-throughput.csv?start=2022-12-23&end=2023-01-24&server=public
#
date,source,server,low,q1,md,q3,high
2022-12-23,op-de6a,public,133,2343,5053,10485,22075
2022-12-23,op-de7a,public,198,2833,5343,9532,19065
2022-12-23,op-hk6,public,98,1037,2697,3735,7358
2022-12-23,op-hk6a,public,153,2396,3466,4559,7767
2022-12-23,op-hk7,public,92,1622,3226,5178,8924
2022-12-23,op-hk7a,public,181,1849,3795,5745,11037
2022-12-23,op-nl6,public,102,1377,3647,7233,15534
2022-12-23,op-us6,public,129,1657,3615,6502,10754
2022-12-23,op-us7,public,238,2031,4194,7840,16131
2022-12-24,op-de6a,public,249,3177,5991,11037,22075
2022-12-24,op-de7a,public,199,2637,5518,9754,19972
2022-12-24,op-hk6,public,156,1769,3017,4279,6765
2022-12-24,op-hk6a,public,133,2115,3302,4415,7231
2022-12-24,op-hk7,public,144,1715,3615,5053,9754
2022-12-24,op-hk7a,public,304,2036,3778,6034,11983
2022-12-24,op-nl6,public,187,3012,5519,10230,19972
2022-12-24,op-us6,public,136,1442,3795,7019,11037
2022-12-24,op-us7,public,227,2267,4392,8027,15534
2022-12-25,op-de6a,public,261,3153,5518,9754,19065
2022-12-25,op-de7a,public,116,2892,5178,9532,19065
2022-12-25,op-hk6,public,84,1805,3341,4779,7358
2022-12-25,op-hk6a,public,37,2424,3554,4609,7231
2022-12-25,op-hk7,public,133,2326,3711,4821,8559
2022-12-25,op-hk7a,public,169,2036,3744,5518,9532
2022-12-25,op-nl6,public,170,1539,4279,7767,16777
2022-12-25,op-us6,public,94,1687,3382,6307,10485
2022-12-25,op-us7,public,212,2192,4464,8027,16777
2022-12-26,op-de6a,public,148,2666,5178,8224,16131
2022-12-26,op-de7a,public,224,2597,5991,11650,24672
2022-12-26,op-hk6,public,139,1029,3106,4152,8559
2022-12-26,op-hk6a,public,112,2071,3382,4369,7767
2022-12-26,op-hk7,public,145,1103,2410,4194,8738
2022-12-26,op-hk7a,public,210,1591,3466,5629,11037
2022-12-26,op-nl6,public,131,2030,4279,6850,13981
2022-12-26,op-us6,public,106,1429,3495,6168,10485
2022-12-26,op-us7,public,227,2006,4194,7489,14979
2022-12-27,op-de6a,public,227,2814,5667,9986,19972
2022-12-27,op-de7a,public,183,2273,5667,9754,20971
2022-12-27,op-hk6,public,168,1424,2759,4346,7108
2022-12-27,op-hk6a,public,120,2304,3466,4462,6990
2022-12-27,op-hk7,public,122,1734,3452,5825,10754
2022-12-27,op-hk7a,public,73,2156,3711,5518,9986
2022-12-27,op-nl6,public,172,2589,4415,7626,13981
2022-12-27,op-us6,public,146,1706,3901,6503,11650
2022-12-27,op-us7,public,152,1880,4236,8065,14463
2022-12-28,op-de6a,public,190,3328,5949,11335,23301
2022-12-28,op-de7a,public,271,3416,6502,11571,23301
2022-12-28,op-hk6,public,96,1892,3189,4143,6657
2022-12-28,op-hk6a,public,61,2356,3410,4510,7358
2022-12-28,op-hk7,public,89,1800,3778,5309,9118
2022-12-28,op-hk7a,public,117,2467,4032,5907,11037
2022-12-28,op-nl6,public,173,3160,5518,9373,18236
2022-12-28,op-us6,public,306,2943,4415,7169,10230
2022-12-28,op-us7,public,158,2118,4415,8738,18236
2022-12-29,op-de6a,public,192,2649,5242,9532,19065
2022-12-29,op-de7a,public,221,2553,6168,11335,23301
2022-12-29,op-hk6,public,167,1919,2995,4523,7626
2022-12-29,op-hk6a,public,94,2139,3328,4369,7626
2022-12-29,op-hk7,public,225,1803,3711,4935,9532
2022-12-29,op-hk7a,public,196,2207,3883,5667,10754
2022-12-29,op-nl6,public,110,1947,4032,6990,13981
2022-12-29,op-us6,public,156,1777,3994,5991,9986
2022-12-29,op-us7,public,213,2097,4415,8388,17476
2022-12-30,op-de6a,public,274,3213,5377,10230,19972
2022-12-30,op-de7a,public,197,2424,5825,9643,19972
2022-12-30,op-hk6,public,86,1633,2943,4712,8065
2022-12-30,op-hk6a,public,200,2297,3615,4877,7913
2022-12-30,op-hk7,public,172,1762,3615,5210,9320
2022-12-30,op-hk7a,public,222,2343,3847,5309,9754
2022-12-30,op-nl6,public,201,3245,5866,10421,20971
2022-12-30,op-us6,public,238,1855,3919,6260,11650
2022-12-30,op-us7,public,79,2343,4934,7767,15534
2022-12-31,op-de6a,public,167,3078,6307,11983,24672
2022-12-31,op-de7a,public,205,2716,6452,10485,22075
2022-12-31,op-hk6,public,68,1627,3084,4739,7626
2022-12-31,op-hk6a,public,155,2279,3495,4660,7231
2022-12-31,op-hk7,public,243,1714,3355,5447,11037
2022-12-31,op-hk7a,public,103,2279,4152,6168,11650
2022-12-31,op-nl6,public,216,2021,5053,10108,22075
2022-12-31,op-us6,public,262,2299,4660,7231,13530
2022-12-31,op-us7,public,252,2613,5991,9320,19065
2023-01-01,op-de6a,public,293,3232,6078,11650,23301
2023-01-01,op-de7a,public,186,2649,6307,11335,23301
2023-01-01,op-hk6,public,108,2140,3341,4647,7489
2023-01-01,op-hk6a,public,197,2601,3584,4621,7358
2023-01-01,op-hk7,public,91,2016,3744,5907,10230
