date,scenario_type,success_rate
2022-12-23,1,100.0
2022-12-23,2,80.0
2022-12-23,3,100.0
2022-12-23,4,20.0
2022-12-23,5,88.88888888888889
2022-12-23,6,77.77777777777779
2022-12-23,7,100.0
2022-12-23,8,100.0
2022-12-23,9,88.88888888888889
2022-12-23,11,33.33333333333333
2022-12-23,12,100.0
2022-12-23,13,100.0
2022-12-23,14,66.66666666666666
2022-12-23,15,88.88888888888889
2022-12-23,16,44.44444444444444
2022-12-23,17,44.44444444444444
2022-12-23,18,50.0
2022-12-23,19,44.44444444444444
2022-12-23,10,62.5
2022-12-24,5,100.0
2022-12-24,6,92.5
2022-12-24,7,95.0
2022-12-24,8,97.5
2022-12-24,9,92.5
2022-12-24,10,43.24324324324324
2022-12-24,11,65.78947368421053
2022-12-24,12,95.0
2022-12-24,13,92.5
2022-12-24,14,92.3076923076923
2022-12-24,15,87.5
2022-12-24,16,30.76923076923077
2022-12-24,17,50.0
2022-12-24,18,42.10526315789473
2022-12-24,19,41.02564102564102
2022-12-24,1,100.0
2022-12-24,2,89.74358974358975
2022-12-24,3,87.17948717948718
2022-12-24,4,21.62162162162162
2022-12-25,18,33.33333333333333
2022-12-25,19,53.65853658536586
2022-12-25,1,100.0
2022-12-25,2,90.2439024390244
2022-12-25,3,90.0
2022-12-25,4,40.54054054054054
2022-12-25,5,97.5
2022-12-25,6,92.6829268292683
2022-12-25,7,90.2439024390244
2022-12-25,8,100.0
2022-12-25,9,97.5609756097561
2022-12-25,10,51.21951219512195
2022-12-25,11,70.73170731707317
2022-12-25,12,97.5
2022-12-25,13,100.0
2022-12-25,14,95.0
2022-12-25,15,87.17948717948718
2022-12-25,16,35.0
2022-12-25,17,53.84615384615385
2022-12-26,12,97.5
2022-12-26,13,97.5
2022-12-26,14,90.0
2022-12-26,15,84.61538461538461
2022-12-26,16,42.5
2022-12-26,17,57.89473684210527
2022-12-26,18,48.717948717948715
2022-12-26,19,47.5
2022-12-26,1,100.0
2022-12-26,2,92.5
2022-12-26,3,90.0
2022-12-26,4,30.0
2022-12-26,5,92.5
2022-12-26,6,95.0
2022-12-26,7,100.0
2022-12-26,8,97.43589743589743
2022-12-26,9,100.0
2022-12-26,10,35.8974358974359
2022-12-26,11,52.63157894736842
2022-12-27,8,95.1219512195122
2022-12-27,9,95.1219512195122
2022-12-27,10,57.49999999999999
2022-12-27,11,65.0
2022-12-27,12,95.1219512195122
2022-12-27,13,97.5609756097561
2022-12-27,14,85.36585365853658
2022-12-27,15,86.8421052631579
2022-12-27,16,63.1578947368421
2022-12-27,17,65.0
2022-12-27,18,57.49999999999999
2022-12-27,19,66.66666666666666
2022-12-27,1,100.0
2022-12-27,2,85.0
2022-12-27,3,90.0
2022-12-27,4,47.5
2022-12-27,5,100.0
2022-12-27,6,92.5
2022-12-27,7,95.0
2022-12-28,15,92.85714285714286
2022-12-28,16,88.09523809523809
2022-12-28,17,78.57142857142857
2022-12-28,18,88.09523809523809
2022-12-28,19,83.33333333333334
2022-12-28,1,100.0
2022-12-28,2,90.47619047619048
2022-12-28,3,95.23809523809523
2022-12-28,4,73.80952380952381
